state_num,pew_bornagain,commonweight,state,state_name,population_total,year
06,2,1.99622404565578,CA,CALIFORNIA,39029342,2022
17,2,0.41108038575834,IL,ILLINOIS,12582032,2022
34,2,0.077499948485064,NJ,NEW JERSEY,9261699,2022
42,2,1.23788943869263,PA,PENNSYLVANIA,12972008,2022
53,2,0.235509527007044,WA,WASHINGTON,7785786,2022
48,2,0.27063408449377,TX,TEXAS,30029572,2022
37,2,0.359743255069363,NC,NORTH CAROLINA,10698973,2022
13,2,1.3841529612993,GA,GEORGIA,10912876,2022
42,2,2.54484062418112,PA,PENNSYLVANIA,12972008,2022
26,1,0.553205475960229,MI,MICHIGAN,10034113,2022
53,1,0.524013801181483,WA,WASHINGTON,7785786,2022
22,1,0.248348111060708,LA,LOUISIANA,4590241,2022
48,1,0.146649564595041,TX,TEXAS,30029572,2022
36,2,0.642178820938065,NY,NEW YORK,19677151,2022
06,2,0.504784394579432,CA,CALIFORNIA,39029342,2022
37,1,2.55342635634071,NC,NORTH CAROLINA,10698973,2022
25,2,0.907327469848242,MA,MASSACHUSETTS,6981974,2022
34,1,0.442600255729235,NJ,NEW JERSEY,9261699,2022
37,2,0.66538290515402,NC,NORTH CAROLINA,10698973,2022
05,2,0.290531327370418,AR,ARKANSAS,3045637,2022
26,1,0.319842326741983,MI,MICHIGAN,10034113,2022
36,2,4.62706699923358,NY,NEW YORK,19677151,2022
08,2,1.55295984534839,CO,COLORADO,5839926,2022
12,1,0.327660251384663,FL,FLORIDA,22244823,2022
04,1,0.0824058220977023,AZ,ARIZONA,7359197,2022
18,1,1.23583709606291,IN,INDIANA,6833037,2022
53,2,0.227091478409089,WA,WASHINGTON,7785786,2022
42,2,1.66912315668708,PA,PENNSYLVANIA,12972008,2022
13,2,0.797775386034913,GA,GEORGIA,10912876,2022
35,2,0.122209270936707,NM,NEW MEXICO,2113344,2022
42,2,1.77448008338944,PA,PENNSYLVANIA,12972008,2022
21,2,2.40472282117214,KY,KENTUCKY,4512310,2022
12,2,0.208779930461665,FL,FLORIDA,22244823,2022
53,2,2.04703788049724,WA,WASHINGTON,7785786,2022
17,2,0.893087259000947,IL,ILLINOIS,12582032,2022
12,2,1.73530365825459,FL,FLORIDA,22244823,2022
06,2,0.491116537599501,CA,CALIFORNIA,39029342,2022
06,2,1.0781516657856,CA,CALIFORNIA,39029342,2022
37,1,1.12349365675127,NC,NORTH CAROLINA,10698973,2022
29,1,0.853967353769432,MO,MISSOURI,6177957,2022
48,1,0.498785138657395,TX,TEXAS,30029572,2022
06,2,0.599810376960249,CA,CALIFORNIA,39029342,2022
18,1,0.227641545934436,IN,INDIANA,6833037,2022
37,1,0.301428537565749,NC,NORTH CAROLINA,10698973,2022
04,2,0.662825914476271,AZ,ARIZONA,7359197,2022
38,2,1.20902111205627,ND,NORTH DAKOTA,779261,2022
12,2,0.704640407082953,FL,FLORIDA,22244823,2022
17,2,1.091235256594,IL,ILLINOIS,12582032,2022
48,2,0.377209645701007,TX,TEXAS,30029572,2022
19,2,3.9529737293005,IA,IOWA,3200517,2022
37,1,0.298870253446526,NC,NORTH CAROLINA,10698973,2022
42,2,0.963682760354372,PA,PENNSYLVANIA,12972008,2022
12,2,0.86264046794051,FL,FLORIDA,22244823,2022
25,1,0.452348052159512,MA,MASSACHUSETTS,6981974,2022
06,1,0.620735201755947,CA,CALIFORNIA,39029342,2022
13,1,0.301652788772042,GA,GEORGIA,10912876,2022
12,2,2.5154992423354,FL,FLORIDA,22244823,2022
42,2,1.21889444411442,PA,PENNSYLVANIA,12972008,2022
25,2,1.47850012273082,MA,MASSACHUSETTS,6981974,2022
39,1,0.543054424019871,OH,OHIO,11756058,2022
42,2,0.194472398793133,PA,PENNSYLVANIA,12972008,2022
37,2,3.51865246197026,NC,NORTH CAROLINA,10698973,2022
48,1,0.502034124671818,TX,TEXAS,30029572,2022
39,1,1.28252649547575,OH,OHIO,11756058,2022
29,2,0.128247935025555,MO,MISSOURI,6177957,2022
32,2,0.566467243569071,NV,NEVADA,3177772,2022
29,1,0.416051990762087,MO,MISSOURI,6177957,2022
48,2,0.789687407757198,TX,TEXAS,30029572,2022
40,2,0.638531493200116,OK,OKLAHOMA,4019800,2022
26,1,1.67866250652328,MI,MICHIGAN,10034113,2022
26,2,1.05551267560477,MI,MICHIGAN,10034113,2022
26,2,0.639313395531848,MI,MICHIGAN,10034113,2022
42,1,4.57189084818645,PA,PENNSYLVANIA,12972008,2022
12,2,0.915929648318241,FL,FLORIDA,22244823,2022
27,2,1.67302761766529,MN,MINNESOTA,5717184,2022
22,1,0.138915671982683,LA,LOUISIANA,4590241,2022
42,2,0.405619017986818,PA,PENNSYLVANIA,12972008,2022
28,2,2.79300695672643,MS,MISSISSIPPI,2940057,2022
25,2,0.203315493559438,MA,MASSACHUSETTS,6981974,2022
48,2,0.312103229513292,TX,TEXAS,30029572,2022
39,2,0.058688071403761,OH,OHIO,11756058,2022
36,2,0.457670513346925,NY,NEW YORK,19677151,2022
18,2,0.804113352805941,IN,INDIANA,6833037,2022
45,1,1.78960582236761,SC,SOUTH CAROLINA,5282634,2022
06,2,0.557664991822082,CA,CALIFORNIA,39029342,2022
22,2,0.207622181115043,LA,LOUISIANA,4590241,2022
36,2,0.24404485321899,NY,NEW YORK,19677151,2022
17,1,0.965048605167239,IL,ILLINOIS,12582032,2022
08,2,1.41147693737297,CO,COLORADO,5839926,2022
22,1,2.15381209482643,LA,LOUISIANA,4590241,2022
51,1,1.15532400912065,VA,VIRGINIA,8683619,2022
18,1,0.294859592906679,IN,INDIANA,6833037,2022
36,1,1.46062890280509,NY,NEW YORK,19677151,2022
12,1,2.12611587719781,FL,FLORIDA,22244823,2022
12,2,0.740591900641732,FL,FLORIDA,22244823,2022
51,2,0.907138783052939,VA,VIRGINIA,8683619,2022
39,1,0.981995461543692,OH,OHIO,11756058,2022
26,2,0.646540759922664,MI,MICHIGAN,10034113,2022
08,2,0.441033491844065,CO,COLORADO,5839926,2022
01,1,0.248768386570678,AL,ALABAMA,5074296,2022
13,1,0.0992263726249241,GA,GEORGIA,10912876,2022
08,2,1.3140788115436,CO,COLORADO,5839926,2022
12,1,0.314923508511651,FL,FLORIDA,22244823,2022
41,2,4.36252584572809,OR,OREGON,4240137,2022
29,1,4.79104868547819,MO,MISSOURI,6177957,2022
39,2,4.91311576318471,OH,OHIO,11756058,2022
21,2,0.100653828667467,KY,KENTUCKY,4512310,2022
39,2,0.397762649766132,OH,OHIO,11756058,2022
