state_name,white_pop,hispanic_pop,black_pop,female_pop,year,state,population_total,pct_black,pct_white,pct_hispanic,pct_female,pct_male
MISSISSIPPI,1735887,86035,1134333,1537627,2017,MS,2988510,0.379564732927111,0.580853669554393,0.0287885936470014,0.51451291780854,0.48548708219146
MISSOURI,5013597,255803,698380,3110838,2017,MO,6106670,0.114363474692426,0.821003427399876,0.0418891146893479,0.509416424991034,0.490583575008966
MONTANA,930548,38933,4635,524136,2017,MT,1052482,0.00440387579074987,0.884146237180303,0.0369916065072847,0.49799996579514,0.502000034204861
NEBRASKA,1677092,209917,88952,960803,2017,NE,1915947,0.0464271715240557,0.875333190323114,0.109563051587544,0.501476815381636,0.498523184618364
NEVADA,1936859,864663,274550,1491787,2017,NV,2969905,0.0924440344051409,0.652161937839763,0.291141635843571,0.502301252060251,0.497698747939749
NEW HAMPSHIRE,1249751,50393,22409,677054,2017,NH,1348787,0.0166141874143212,0.926574025402084,0.0373617183439639,0.501972513080271,0.498027486919729
NEW JERSEY,6112238,1840433,1217572,4608796,2017,NJ,8885525,0.13702870680123,0.687887097273374,0.207127097160832,0.51868584017264,0.48131415982736
NEW MEXICO,1582020,1018344,44431,1053926,2017,NM,2091784,0.0212407208392454,0.756301797891178,0.486830380192219,0.503840740726576,0.496159259273424
NEW YORK,12523357,3811654,3136984,10211503,2017,NY,19589572,0.160135402651982,0.63928691244505,0.194575665052815,0.521272389207891,0.478727610792109
NORTH CAROLINA,7066745,962466,2206579,5274881,2017,NC,10268233,0.214893740724427,0.688214320808653,0.0937323880359941,0.513708736449592,0.486291263550408
NORTH DAKOTA,654116,26479,23294,367093,2017,ND,754942,0.0308553504772552,0.866445369313139,0.035074217622016,0.486253248593932,0.513746751406068
OHIO,9480074,436762,1441353,5949355,2017,OH,11659650,0.123618890790032,0.813066773016343,0.0374592719335486,0.510251594173067,0.489748405826933
OKLAHOMA,2837492,417708,286716,1981878,2017,OK,3931316,0.072931303410868,0.721766451742877,0.106251443536973,0.504125844882477,0.495874155117523
OREGON,3497242,540924,77750,2088760,2017,OR,4143625,0.0187637636127787,0.844005430028055,0.13054366647561,0.504090017798425,0.495909982201575
PENNSYLVANIA,10339488,938428,1437081,6533016,2017,PA,12787641,0.112380461728633,0.80855319601168,0.0733855446833392,0.51088515856834,0.489114841431661
RHODE ISLAND,866258,163346,66660,546441,2017,RI,1055673,0.0631445532849661,0.820574174010323,0.154731626175909,0.517623354959348,0.482376645040652
SOUTH CAROLINA,3380219,285990,1357385,2587467,2017,SC,5021268,0.270327136492217,0.673180360020616,0.0569557330937126,0.515301513482252,0.484698486517748
SOUTH DAKOTA,736581,31278,16987,431237,2017,SD,872868,0.0194611327256813,0.843862989592928,0.0358335968325108,0.494046064238808,0.505953935761192
TENNESSEE,5221591,361203,1122675,3443849,2017,TN,6708799,0.167343663150439,0.778319785702329,0.0538401880873164,0.513333161419801,0.486666838580199
TEXAS,20929140,11158751,3423231,14241895,2017,TX,28295273,0.120982434062396,0.739669131306844,0.39436802747936,0.503331245469871,0.49666875453013
UTAH,2657013,434290,37669,1538400,2017,UT,3101042,0.0121472072935484,0.856812968028166,0.140046474701084,0.496091313822902,0.503908686177098
VERMONT,587265,11932,8260,315847,2017,VT,624344,0.0132298860884384,0.940611265584357,0.0191112591776328,0.505886178132568,0.494113821867432
VIRGINIA,5714699,790662,1627641,4306266,2017,VA,8463587,0.192311014230727,0.675210049828755,0.0934192559254132,0.508799165176656,0.491200834823344
WASHINGTON,5582361,940792,271584,3707128,2017,WA,7423362,0.0365850405786489,0.751999026856026,0.126733951543788,0.499386666041613,0.500613333958387
WEST VIRGINIA,1684321,22807,71991,918691,2017,WV,1817004,0.0396207163000192,0.926977045730224,0.0125519811734041,0.505607582592003,0.494392417407997
