state,state_no,state_name,state_fips,state_icpsr,year,female_pop,male_pop,black_pop,pct_hispanic,pct_white,population_total,white_pop,hispanic_pop,pct_female,pct_male,pct_black
AK,2,ALASKA,2,81,2016,,,,0.00069,0.0061,,,,,,
AK,2,ALASKA,2,81,2017,,,,7e-04,0.00606,,,,,,
AK,2,ALASKA,2,81,2018,,,,,,,,,,,
AK,2,ALASKA,2,81,2019,,,,,,,,,,,
AK,2,ALASKA,2,81,2020,,,,,,,,,,,
AL,1,ALABAMA,1,41,1987,,,1013455,,,4083000,,,,,
AL,1,ALABAMA,1,41,1988,,,1015878,,,4127000,,,,,
AL,1,ALABAMA,1,41,1989,,,1018269,,,4118000,,,,,
AL,1,ALABAMA,1,41,1990,,,1024198,,,4040587,,,,,
AL,1,ALABAMA,1,41,1991,,,1040280,,,4089000,,,,,
AL,1,ALABAMA,1,41,1992,,,1060627,,,4136000,,,,,
AL,1,ALABAMA,1,41,1993,,,1081479,,,4187000,,,,,
AL,1,ALABAMA,1,41,1994,2200000,2e+06,1099593,,,4219000,,,0.521450580706329,0.474045982460299,
AL,1,ALABAMA,1,41,1995,2200000,2e+06,1114033,,,4253000,,,0.517281918645662,0.470256289677874,
AL,1,ALABAMA,1,41,1996,2200000,2100000,1125093,,,4273000,,,0.514860753568921,0.491457992043061,
AL,1,ALABAMA,1,41,1997,2200000,2100000,1140120,,,4319000,,,0.509377170641352,0.486223662884927,
AL,1,ALABAMA,1,41,1998,2300000,2100000,1152248,,,4352000,,,0.528492647058824,0.482536764705882,
AL,1,ALABAMA,1,41,1999,2300000,2100000,1162673,,,4369862,,,0.526332410497174,0.480564374801767,
AL,1,ALABAMA,1,41,2000,2300000,2100000,1170722,,,4447100,,,0.517190978390412,0.472217849834724,
AL,1,ALABAMA,1,41,2001,,,1176901,,,4468912,,,,,
AL,1,ALABAMA,1,41,2002,2300000,2200000,1180598,,,4478896,,,0.513519402995738,0.491192472430706,
AL,1,ALABAMA,1,41,2003,2300000,2200000,1186654,,,4503726,,,0.510688261230812,0.488484423785994,
AL,1,ALABAMA,1,41,2004,2300000,2200000,1193528,,,4525375,,,0.508245173051957,0.486147556832307,
AL,1,ALABAMA,1,41,2005,2300000,2200000,1203260,,,4548327,,,0.505680440302555,0.483694334202444,
AL,1,ALABAMA,1,41,2006,2400000,2200000,1220450,,,4599030,,,0.521849172542906,0.478361741497664,
AL,1,ALABAMA,1,41,2007,2400000,2200000,1232091,,,4627851,,,0.518599237529471,0.475382634402015,
AL,1,ALABAMA,1,41,2008,2400000,2300000,1246105,,,4661900,,,0.514811557519466,0.493361075956155,
AL,1,ALABAMA,1,41,2009,2400000,2300000,1255769,,,4708708,,,0.509693954265162,0.48845670617078,
AL,1,ALABAMA,1,41,2010,2500000,2300000,,,,4785401,,,0.52242225886608,0.480628478156794,
AL,1,ALABAMA,1,41,2011,,,,,,4803689,,,,,
AL,1,ALABAMA,1,41,2012,,,,,,4822023,,,,,
AL,1,ALABAMA,1,41,2013,,,,0.00039,0.00663,4822023,31970.01249,1880.58897,,,
AL,1,ALABAMA,1,41,2014,,,,4e-04,0.00661,4822023,31873.57203,1928.8092,,,
AL,1,ALABAMA,1,41,2015,,,,4e-04,0.00659,,,,,,
AL,1,ALABAMA,1,41,2016,,,,0.00041,0.00657,,,,,,
AL,1,ALABAMA,1,41,2017,,,,0.00041,0.00655,,,,,,
AL,1,ALABAMA,1,41,2018,,,,,,,,,,,
AL,1,ALABAMA,1,41,2019,,,,,,,,,,,
AL,1,ALABAMA,1,41,2020,,,,,,,,,,,
AR,4,ARKANSAS,5,42,1987,,,375062,,,2388000,,,,,
AR,4,ARKANSAS,5,42,1988,,,374526,,,2422000,,,,,
AR,4,ARKANSAS,5,42,1989,,,374693,,,2406000,,,,,
AR,4,ARKANSAS,5,42,1990,,,375370,,,2350725,,,,,
AR,4,ARKANSAS,5,42,1991,,,380194,,,2372000,,,,,
AR,4,ARKANSAS,5,42,1992,,,386732,,,2399000,,,,,
AR,4,ARKANSAS,5,42,1993,,,393794,,,2424000,,,,,
AR,4,ARKANSAS,5,42,1994,1300000,1200000,398538,,,2453000,,,0.529963310232369,0.489196901752956,
AR,4,ARKANSAS,5,42,1995,1300000,1200000,404627,,,2484000,,,0.523349436392915,0.483091787439614,
AR,4,ARKANSAS,5,42,1996,1300000,1200000,411450,,,2510000,,,0.51792828685259,0.478087649402391,
AR,4,ARKANSAS,5,42,1997,1300000,1200000,416291,,,2523000,,,0.515259611573524,0.475624256837099,
AR,4,ARKANSAS,5,42,1998,1300000,1200000,420780,,,2538000,,,0.512214342001576,0.472813238770686,
AR,4,ARKANSAS,5,42,1999,1300000,1200000,424438,,,2551373,,,0.509529574860281,0.470334992178721,
AR,4,ARKANSAS,5,42,2000,1400000,1300000,427263,,,2673400,,,0.523677713772724,0.486272162788958,
AR,4,ARKANSAS,5,42,2001,,,430202,,,2694698,,,,,
AR,4,ARKANSAS,5,42,2002,1400000,1300000,432785,,,2706268,,,0.517317575347305,0.480366319965355,
AR,4,ARKANSAS,5,42,2003,1400000,1300000,435551,,,2727774,,,0.513239000005132,0.476579071433337,
AR,4,ARKANSAS,5,42,2004,1400000,1300000,439602,,,2750000,,,0.509090909090909,0.472727272727273,
AR,4,ARKANSAS,5,42,2005,1400000,1400000,443516,,,2775708,,,0.504375820511379,0.504375820511379,
AR,4,ARKANSAS,5,42,2006,1400000,1400000,451459,,,2810872,,,0.498066080561477,0.498066080561477,
AR,4,ARKANSAS,5,42,2007,1400000,1400000,454984,,,2834797,,,0.493862523489336,0.493862523489336,
AR,4,ARKANSAS,5,42,2008,1500000,1400000,460994,,,2855390,,,0.525322285221984,0.490300799540518,
AR,4,ARKANSAS,5,42,2009,1500000,1400000,465473,,,2889450,,,0.519129938223537,0.484521275675302,
AR,4,ARKANSAS,5,42,2010,1500000,1400000,,,,2921588,,,0.513419414373279,0.479191453415061,
AR,4,ARKANSAS,5,42,2011,,,,,,2938582,,,,,
AR,4,ARKANSAS,5,42,2012,,,,,,2949131,,,,,
AR,4,ARKANSAS,5,42,2013,,,,0.00069,0.00736,2949131,21705.60416,2034.90039,,,
AR,4,ARKANSAS,5,42,2014,,,,0.00069,0.00734,2949131,21646.62154,2034.90039,,,
AR,4,ARKANSAS,5,42,2015,,,,7e-04,0.0073,,,,,,
AR,4,ARKANSAS,5,42,2016,,,,0.00072,0.00728,,,,,,
AR,4,ARKANSAS,5,42,2017,,,,0.00074,0.00723,,,,,,
AR,4,ARKANSAS,5,42,2018,,,,,,,,,,,
AR,4,ARKANSAS,5,42,2019,,,,,,,,,,,
AR,4,ARKANSAS,5,42,2020,,,,,,,,,,,
AZ,3,ARIZONA,4,61,1987,,,105045,,,3386000,,,,,
AZ,3,ARIZONA,4,61,1988,,,109100,,,3466000,,,,,
AZ,3,ARIZONA,4,61,1989,,,112936,,,3556000,,,,,
AZ,3,ARIZONA,4,61,1990,,,115796,,,3665228,,,,,
AZ,3,ARIZONA,4,61,1991,,,121994,,,3750000,,,,,
AZ,3,ARIZONA,4,61,1992,,,127617,,,3832000,,,,,
AZ,3,ARIZONA,4,61,1993,,,133252,,,3936000,,,,,
AZ,3,ARIZONA,4,61,1994,2100000,2e+06,141948,,,4075000,,,0.515337423312884,0.49079754601227,
AZ,3,ARIZONA,4,61,1995,2100000,2100000,150424,,,4218000,,,0.497866287339972,0.497866287339972,
AZ,3,ARIZONA,4,61,1996,2200000,2200000,157868,,,4428000,,,0.496838301716351,0.496838301716351,
AZ,3,ARIZONA,4,61,1997,2300000,2300000,164445,,,4555000,,,0.504939626783754,0.504939626783754,
AZ,3,ARIZONA,4,61,1998,2400000,2300000,171440,,,4669000,,,0.514028699935746,0.492610837438424,
AZ,3,ARIZONA,4,61,1999,2400000,2400000,177619,,,4778332,,,0.502267318386416,0.502267318386416,
AZ,3,ARIZONA,4,61,2000,2600000,2600000,184811,,,5130632,,,0.506760180812033,0.506760180812033,
AZ,3,ARIZONA,4,61,2001,,,195273,,,5306966,,,,,
AZ,3,ARIZONA,4,61,2002,2700000,2700000,206303,,,5441125,,,0.496220910197799,0.496220910197799,
AZ,3,ARIZONA,4,61,2003,2800000,2800000,216877,,,5579222,,,0.501862087581387,0.501862087581387,
AZ,3,ARIZONA,4,61,2004,2900000,2900000,230765,,,5739879,,,0.505237131305381,0.505237131305381,
AZ,3,ARIZONA,4,61,2005,3e+06,3e+06,248084,,,5953007,,,0.503946996870657,0.503946996870657,
AZ,3,ARIZONA,4,61,2006,3100000,3100000,268418,,,6166318,,,0.502731127392392,0.502731127392392,
AZ,3,ARIZONA,4,61,2007,3200000,3200000,286026,,,6338755,,,0.504830995992115,0.504830995992115,
AZ,3,ARIZONA,4,61,2008,3200000,3300000,302727,,,6500180,,,0.49229405954912,0.50767824891003,
