state_fips,state_name,state_num,state,state_icpsr,unified,party_control,year
21,Kentucky,17,KY,51,0,DIV,2022
22,Louisiana,18,LA,45,0,DIV,2022
23,Maine,19,ME,2,1,DEM,2022
24,Maryland,20,MD,52,1,DEM,2022
25,Massachusetts,21,MA,3,1,DEM,2022
26,Michigan,22,MI,23,1,DEM,2022
27,Minnesota,23,MN,33,1,DEM,2022
28,Mississippi,24,MS,46,1,REP,2022
29,Missouri,25,MO,34,1,REP,2022
30,Montana,26,MT,64,1,REP,2022
31,Nebraska,27,NE,35,NA,NA,2022
32,Nevada,28,NV,65,0,DIV,2022
33,New Hampshire,29,NH,4,1,REP,2022
34,New Jersey,30,NJ,12,1,DEM,2022
35,New Mexico,31,NM,66,1,DEM,2022
36,New York,32,NY,13,1,DEM,2022
37,North Carolina,33,NC,47,0,DIV,2022
38,North Dakota,34,ND,36,1,REP,2022
39,Ohio,35,OH,24,1,REP,2022
40,Oklahoma,36,OK,53,1,REP,2022
41,Oregon,37,OR,72,1,DEM,2022
42,Pennsylvania,38,PA,14,0,DIV,2022
44,Rhode Island,39,RI,5,1,DEM,2022
45,South Carolina,40,SC,48,1,REP,2022
46,South Dakota,41,SD,37,1,REP,2022
47,Tennessee,42,TN,54,1,REP,2022
48,Texas,43,TX,49,1,REP,2022
49,Utah,44,UT,67,1,REP,2022
50,Vermont,45,VT,6,0,DIV,2022
51,Virginia,46,VA,40,0,DIV,2022
53,Washington,47,WA,73,1,DEM,2022
54,West Virginia,48,WV,56,1,REP,2022
55,Wisconsin,49,WI,25,0,DIV,2022
56,Wyoming,50,WY,68,1,REP,2022
1,Alabama,1,AL,41,1,REP,2023
2,Alaska,2,AK,81,1,REP,2023
4,Arizona,3,AZ,61,0,DIV,2023
5,Arkansas,4,AR,42,1,REP,2023
6,California,5,CA,71,1,DEM,2023
8,Colorado,6,CO,62,1,DEM,2023
9,Connecticut,7,CT,1,1,DEM,2023
10,Delaware,8,DE,11,1,DEM,2023
12,Florida,9,FL,43,1,REP,2023
13,Georgia,10,GA,44,1,REP,2023
15,Hawaii,11,HI,82,1,DEM,2023
16,Idaho,12,ID,63,1,REP,2023
17,Illinois,13,IL,21,1,DEM,2023
18,Indiana,14,IN,22,1,REP,2023
19,Iowa,15,IA,31,1,REP,2023
20,Kansas,16,KS,32,0,DIV,2023
21,Kentucky,17,KY,51,0,DIV,2023
22,Louisiana,18,LA,45,0,DIV,2023
23,Maine,19,ME,2,1,DEM,2023
24,Maryland,20,MD,52,1,DEM,2023
