state,statename,year,policy,category,direction,adoption_year,population_total,pollib_median,incomepcap,std_bowen1,std_bowen2,unified,std_init_use,evangelical_pop
MS,Mississippi,1990,0,Anti-bullying,"",2022,2573216,-2.08649,13117,-0.301941990852356,-0.899811387062073,1,-0.453598409891129,55.200001
MO,Missouri,1990,0,Anti-bullying,N,2006,5117073,-0.26094,17582,0.195154994726181,-0.868238210678101,0,-0.0104275494813919,29.5
MT,Montana,1990,0,Anti-bullying,"",2022,799065,0.275943,15346,-0.80616819858551,-0.192288115620613,0,0.432743310928345,14.1
NE,Nebraska,1990,0,Anti-bullying,"",2022,1578385,-0.140511,17948,-0.153750985860825,-0.227309957146645,0,0.432743310928345,16.9
NV,Nevada,1990,0,Anti-bullying,P,2015,1201833,-0.610424,20042,-0.306575477123261,0.333371341228485,0,0.432743310928345,14.4
NH,New Hampshire,1990,0,Anti-bullying,N,2010,1109252,0.123685,20236,-1.18559777736664,0.355500489473343,1,-0.453598409891129,2.5999999
NJ,New Jersey,1990,0,Anti-bullying,P,2002,7730188,1.7323,24354,0.704956412315369,1.2976416349411,1,-0.453598409891129,5.8000002
NM,New Mexico,1990,0,Anti-bullying,P,2019,1515069,-0.01123,14823,-0.959345042705536,0.442308038473129,0,-0.453598409891129,20.700001
NY,New York,1990,0,Anti-bullying,P,2010,17990455,1.6321,23710,2.79230117797852,0.777271747589111,0,-0.453598409891129,6.5
NC,North Carolina,1990,0,Anti-bullying,P,2009,6628637,-1.1024,17194,-0.177506670355797,-0.831568896770477,0,-0.453598409891129,40
ND,North Dakota,1990,0,Anti-bullying,"",2022,638800,-0.990166,15866,-0.97058767080307,0.159050866961479,0,1.76225590705872,12.2
OH,Ohio,1990,0,Anti-bullying,"",2022,10847115,0.182299,18638,1.01045191287994,-0.997891843318939,0,-0.0104275494813919,13.8
OK,Oklahoma,1990,0,Anti-bullying,"",2022,3145585,-0.415378,16077,0.401135236024857,-0.879104912281036,0,0.87591415643692,47.200001
OR,Oregon,1990,0,Anti-bullying,P,2007,2842321,1.03247,17895,-0.010784768499434,0.331327646970749,1,3.09176850318909,14.9
PA,Pennsylvania,1990,0,Anti-bullying,"",2022,11881643,0.512514,19433,1.33158528804779,1.40435993671417,0,-0.453598409891129,7.5
RI,Rhode Island,1990,0,Anti-bullying,P,2011,1003464,1.62892,19821,-0.549245953559876,-0.824678599834442,0,-0.453598409891129,2.5999999
