state_name,year,population_total
KENTUCKY,1997,3908000
LOUISIANA,1997,4352000
MAINE,1997,1242000
MARYLAND,1997,5094000
MASSACHUSETTS,1997,6118000
MICHIGAN,1997,9774000
MINNESOTA,1997,4686000
MISSISSIPPI,1997,2731000
MISSOURI,1997,5402000
MONTANA,1997,879000
NEBRASKA,1997,1657000
NEVADA,1997,1677000
NEW HAMPSHIRE,1997,1173000
NEW JERSEY,1997,8053000
NEW MEXICO,1997,1730000
NEW YORK,1997,18137000
NORTH CAROLINA,1997,7425000
NORTH DAKOTA,1997,641000
OHIO,1997,11186000
OKLAHOMA,1997,3317000
OREGON,1997,3243000
PENNSYLVANIA,1997,12020000
RHODE ISLAND,1997,987000
SOUTH CAROLINA,1997,3760000
SOUTH DAKOTA,1997,738000
TENNESSEE,1997,5368000
TEXAS,1997,19439000
UTAH,1997,2059000
VERMONT,1997,589000
VIRGINIA,1997,6734000
WASHINGTON,1997,5610000
WEST VIRGINIA,1997,1816000
WISCONSIN,1997,5170000
WYOMING,1997,480000
ALABAMA,1998,4352000
ALASKA,1998,614000
ARIZONA,1998,4669000
ARKANSAS,1998,2538000
CALIFORNIA,1998,32667000
COLORADO,1998,3971000
CONNECTICUT,1998,3274000
DELAWARE,1998,744000
FLORIDA,1998,14916000
GEORGIA,1998,7642000
HAWAII,1998,1193000
IDAHO,1998,1229000
ILLINOIS,1998,12045000
INDIANA,1998,5899000
IOWA,1998,2862000
KANSAS,1998,2629000
KENTUCKY,1998,3936000
LOUISIANA,1998,4369000
MAINE,1998,1244000
MARYLAND,1998,5135000
MASSACHUSETTS,1998,6147000
MICHIGAN,1998,9817000
MINNESOTA,1998,4725000
MISSISSIPPI,1998,2752000
MISSOURI,1998,5439000
MONTANA,1998,880000
NEBRASKA,1998,1663000
NEVADA,1998,1747000
NEW HAMPSHIRE,1998,1185000
NEW JERSEY,1998,8115000
NEW MEXICO,1998,1737000
NEW YORK,1998,18175000
NORTH CAROLINA,1998,7546000
NORTH DAKOTA,1998,638000
OHIO,1998,11209000
OKLAHOMA,1998,3347000
OREGON,1998,3282000
PENNSYLVANIA,1998,12001000
RHODE ISLAND,1998,988000
SOUTH CAROLINA,1998,3836000
SOUTH DAKOTA,1998,738000
TENNESSEE,1998,5431000
