state_name,year,hs_educ,hs_pct,college_educ,college_pct
ALASKA,2015,1594.68,0.216228382992225,926.62,0.125643730559269
ARIZONA,2015,13141.83,0.19242245166535,8382.4,0.122734958437267
ARKANSAS,2015,7686.05,0.258090198680478,2994.49,0.100552106614803
CALIFORNIA,2015,65965.82,0.169499315805817,56672.62,0.145620418497383
COLORADO,2015,9547.14,0.175156858216024,9677.86,0.177555116176628
CONNECTICUT,2015,7764.81,0.216463504726073,5879.35,0.163901590188458
DELAWARE,2015,2221.5,0.23601543476136,1273.66,0.135315515929847
FLORIDA,2015,47287.86,0.233993575746935,27760.92,0.137368807487262
GEORGIA,2015,22070.57,0.216836320904358,13271.22,0.130385509695143
HAWAII,2015,3191.79,0.224449598186283,2159.34,0.151846767910034
IDAHO,2015,3466.53,0.209957972428605,1977.6,0.119777669968184
ILLINOIS,2015,26714.41,0.207750141866579,19128.71,0.148758374833083
INDIANA,2015,17081.82,0.258485611239718,7606.47,0.115102667474928
IOWA,2015,7485.59,0.239848956731262,4088.63,0.131005523941351
KANSAS,2015,5911.06,0.203198269102454,4115.27,0.141466292152213
KENTUCKY,2015,11508.1,0.260012706801844,4387.86,0.099138811416962
LOUISIANA,2015,12069.66,0.258748607606008,5048.42,0.108227708618994
MAINE,2015,3491.81,0.26288563551468,1982.68,0.149268743666536
MARYLAND,2015,11888.98,0.198627630955957,9438.68,0.15769078993752
MASSACHUSETTS,2015,13769.96,0.20267144405516,12079.53,0.17779106029412
MICHIGAN,2015,22643.88,0.227995668421818,12412.95,0.124982946047083
MINNESOTA,2015,10801.66,0.197037521853211,9126.54,0.166480969100509
MISSISSIPPI,2015,6959.01,0.232861888236493,2722.91,0.09111381706565
MISSOURI,2015,14486.25,0.238585135180538,7635.54,0.125755550475548
MONTANA,2015,2580.49,0.250417525898251,1501.37,0.145696887357772
NEBRASKA,2015,3823.88,0.202185084469382,2686.89,0.14206750253929
NEVADA,2015,6379.47,0.22251851190416,3177.09,0.110818193201878
NEW HAMPSHIRE,2015,3084.41,0.230808545665432,2214.03,0.165677404871478
